"","Gold-rader","Blowfish","SHA"
"1",355.165938044105,837.789286366881,1794.35179610273
"2",275.368762552327,566.05647273871,1175.67168373542
"3",258.111395698381,490.496358349706,997.587622206881
"4",256.077182578446,462.802018363719,926.637681957799
"5",260.310101741107,454.426223432807,898.65204534014
"6",267.89669834638,456.009649081253,892.588754877792
"7",277.609422659023,463.584450269458,899.521929163164
"8",288.844289124178,475.185073795924,915.024907345467
"9",301.271926175554,489.730151809677,936.657690339865
"10",314.699368960932,506.578363465302,962.968965692323
"11",329.007686941586,525.327572504227,993.044795237613
"12",344.120967907895,545.714783013249,1026.28383744412
"13",359.989689156636,567.562433626526,1062.27668600199
"14",376.581248621364,590.747784472121,1100.73709291183
"15",393.874300070716,615.184587056167,1141.46078795433
